lemma	def
Νίσυρος	Nisyrus
Ναιάς	a Naiad, river nymph
Ναυσίθοος	Nausithous
Ναυσικάα	Nausicaa
Νεοπτόλεμος	new-warrior
Νεστορίδης	son of Nestor
Νηλεύς	Neleus
Νηληϊάδης	son of Neleus
Νηρεύς	Nereus
Νηρηΐς	daughter of Nereus, sea-nymph
Νιρεύς	Nireus
Νιόβη	Niobe
Νῦσα	Nysa
Ξάνθος	Xanthus
Οἰδίπους	Oedipus
Οἰχαλία	Oechalia; name of cities in Thessaly, Euboea, Messenia
Οἰχαλιεύς	an Oechalian
Οὐρανία	Urania, the heavenly one
Οὐρανίωνες	the heavenly ones, the gods above
Πάν	Pan
Πάρος	Paros
Πάτροκλος	Patroclus
Πάφος	Paphos
Πέλοψ	Pelops
Πέργαμος	Pergamus
Πήδασος	pr. n.
Πήλιον	Pelion
Παιάν	paean
Παιονία	Paeonia
Παιονίδης	son of Paeon, Agastrophus
Παλλάς	Pallas
Πανέλληνες	all the Hellenes
Πανδίων	Pandion
Παρνασός	Parnassus
Παφλαγών	a Paphlagonian
Πείσανδρος	Pisander
Πειρίθοος	Pirithous
Πειραΐδης	son of Piraeus
Πεισήνωρ	Pisenor
Πεισίστρατος	Peisistratus
Πεισηνορίδης	son of Pisenor, Ops
Πελάγων	Pelagon
Πελίας	Pelias, king of Kolchis
Πελασγός	a Pelasgian;
Πελλήνη	Pellene
Πελοπόννησος	the Peloponnesus
Πεπάρηθος	Peparethus (today, Scopelos)
Περίβοια	Periboea
Περίφας	Periphas
Περαιβός	Perrhaebian
Περσαῖος	Persaeus
Περσεφόνη	Persephone, Proserpine
Περσεύς	Perseus
Περσηϊάδης	descendant of Perseus
Πετεών	Peteon, town in Boeotia
Πετεώς	Peteos, father of Menestheus
Πηλεΐδης	son of Peleus
Πηλεΐων	son of Peleus
Πηλεγών	Pelegon, son of the river Axius
Πηλεύς	Peleus
Πηληϊάδης	son of Peleus
Πηνέλεως	Peneleos
Πηνειός	Peneüs, a river in Thessaly
Πηνελόπεια	Penelope
Πηρείη	Peria
Πηρώ	Pero, daughter of Neleus by Chloris
Πιδύτης	Pidytes
Πιερία	Pieria
